x,y,z
-25083.08203,223.8405762,33616.58203
-25082.52344,223.8437347,33616.44922
-25082.08203,223.8454437,33616.36719
-25081.46484,223.8466339,33616.27734
-25080.88477,223.8475342,33616.22656
-25080.39844,223.8487396,33616.20703
-25079.7832,223.85112,33616.21094
-25079.31445,223.8526611,33616.23828
-25078.81836,223.8528595,33616.28516
-25078.32813,223.8525848,33616.35156
-25077.83789,223.8526001,33616.4375
-25077.2168,223.8530579,33616.57813
-25076.63281,223.8538055,33616.73828
-25076.0332,223.8548279,33616.93359
-25075.42383,223.855835,33617.16016
-25074.95898,223.8565979,33617.35156
-25074.37109,223.8573914,33617.62109
-25073.94922,223.8577576,33617.83203
-25073.47266,223.8578491,33618.08984
-25073.04688,223.8582764,33618.33203
-25072.62109,223.8587799,33618.58984
-25072.13477,223.8587799,33618.89844
-25071.69141,223.8589172,33619.19531
-25071.19531,223.859848,33619.53906
-25070.77539,223.8613281,33619.84375
-25070.34766,223.8623962,33620.16406
-25069.91992,223.8618774,33620.49219
-25069.50586,223.8607483,33620.82031
-25069.10938,223.86026,33621.13672
-25068.69727,223.860199,33621.46875
-25068.27734,223.8594666,33621.81641
-25067.85938,223.8585968,33622.15625
-25067.4707,223.8592224,33622.47656
-25067.06836,223.8606262,33622.80469
-25066.66797,223.8608704,33623.13281
-25066.14453,223.859436,33623.55078
-25065.73828,223.8595123,33623.86719
-25065.28906,223.8607635,33624.21484
-25064.86523,223.8619385,33624.53125
-25064.47461,223.862854,33624.81641
-25064.04492,223.8636322,33625.12109
-25063.5957,223.8634796,33625.42969
-25063.14063,223.8630219,33625.72656
-25062.70313,223.8630371,33626.00391
-25062.26563,223.8642273,33626.26563
-25061.80078,223.8657684,33626.53125
-25061.36719,223.8662872,33626.76563
-25060.92578,223.8658295,33626.99219
-25060.4707,223.8660583,33627.21484
-25060.0293,223.867691,33627.41016
-25059.51367,223.870575,33627.62891
-25059.06445,223.8728333,33627.80078
-25058.62305,223.8745422,33627.96094
-25058.07813,223.8762512,33628.13672
-25057.56836,223.8777618,33628.28906
-25056.95703,223.879425,33628.44531
-25056.53125,223.8807373,33628.54297
-25055.91797,223.8834076,33628.66016
-25055.48633,223.8855743,33628.72656
-25055.00391,223.8875275,33628.78906
-25054.49414,223.8891296,33628.83984
-25054.03516,223.8907471,33628.86719
-25053.54883,223.892807,33628.88281
-25052.92773,223.8955231,33628.88281
-25052.46484,223.8972778,33628.86719
-25051.98828,223.8989105,33628.83203
-25051.40625,223.9009399,33628.76953
-25050.83203,223.9028931,33628.68359
-25050.36328,223.9041748,33628.59766
-25049.91406,223.9049072,33628.5
-25049.43945,223.90625,33628.37891
-25048.91602,223.9089813,33628.22656
-25048.35742,223.9127045,33628.03516
-25047.94727,223.9156799,33627.87891
-25047.46289,223.9191284,33627.67188
-25047.03125,223.9220123,33627.47266
-25046.53711,223.9252777,33627.21875
-25045.99609,223.9295807,33626.91016
-25045.5918,223.9332123,33626.65625
-25045.07813,223.9369507,33626.30469
-25044.58008,223.939682,33625.92578
-25044.23633,223.9418335,33625.64063
-25043.87109,223.9447784,33625.32031
-25043.39453,223.9489288,33624.85938
-25043.06055,223.9515228,33624.50391
-25042.65625,223.9546814,33624.03906
-25042.28906,223.958313,33623.57422
-25041.95703,223.9624786,33623.11328
-25041.68945,223.9663391,33622.70703
-25041.44336,223.9694519,33622.30469
-25041.19531,223.9724274,33621.85547
-25040.91211,223.9806976,33621.28516
-25040.71875,223.9933929,33620.84375
-25040.53906,224.002121,33620.38281
-25040.36133,224.0055389,33619.86328
-25040.22461,224.0070038,33619.40625
-25040.08594,224.0090027,33618.88672
-25039.97656,224.0111542,33618.41016
-25039.88281,224.0137939,33617.92188
-25039.80469,224.0172577,33617.41797
-25039.74414,224.0211487,33616.91406
-25039.69727,224.024704,33616.40234
-25039.66602,224.0274811,33615.88281
-25039.65039,224.030304,33615.34766
-25039.64844,224.0336761,33614.83594
-25039.66016,224.0368805,33614.32813
-25039.69141,224.0386658,33613.72266
-25039.72852,224.0391846,33613.23047
-25039.7793,224.0400696,33612.69531
-25039.85352,224.0415039,33612.07031
-25039.9375,224.0437622,33611.46094
-25040.0332,224.0466156,33610.84766
-25040.12891,224.0487366,33610.30078
-25040.21875,224.0506287,33609.80859
-25040.3418,224.0529633,33609.16016
-25040.43359,224.0539551,33608.69531
-25040.56055,224.0545502,33608.05859
-25040.66211,224.055191,33607.55859
-25040.7793,224.0558319,33606.97656
-25040.87891,224.0557709,33606.47656
-25040.97461,224.0557251,33606
-25041.07031,224.0565033,33605.5
-25041.16602,224.0579224,33604.99219
-25041.26758,224.0598145,33604.44141
-25041.35547,224.062088,33603.9375
